pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260816,NVDA,BUY,0.6396,-4.57,DOWN,0
20260816,AMZN,BUY,0.6354,-1.03,DOWN,0
20260816,TSLA,BUY,0.6342,6.94,UP,1
20260816,AAPL,BUY,0.6338,1.23,UP,1
20260816,META,BUY,0.632,-3.35,DOWN,0
20260816,GOOGL,BUY,0.6318,0.24,UP,1
20260816,MSFT,BUY,0.6284,0.79,UP,1
20260821,AMZN,BUY,0.5675,0.64,UP,1
20260821,NVDA,BUY,0.567,-2.36,DOWN,0
20260821,AAPL,BUY,0.542,1.33,UP,1
20260821,META,BUY,0.5359,4.77,UP,1
20260821,GOOGL,BUY,0.5359,-0.82,DOWN,0
20260821,TSLA,BUY,0.5359,-4.7,DOWN,0
20260821,MSFT,HOLD,0.4924,2.72,UP,0
