pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260831,AMZN,HOLD,0.4735,-0.49,DOWN,1
20260831,NVDA,HOLD,0.4684,4.34,UP,0
20260831,GOOGL,HOLD,0.4665,-0.2,DOWN,1
20260831,META,HOLD,0.4662,7.76,UP,0
20260831,AAPL,HOLD,0.4661,0.98,UP,0
20260831,TSLA,HOLD,0.4661,-3.77,DOWN,1
20260831,MSFT,HOLD,0.4627,-1.5,DOWN,1
20260901,AMZN,BUY,0.5696,1.41,UP,1
20260901,AAPL,BUY,0.5555,-1.59,DOWN,0
20260901,NVDA,BUY,0.538,5.94,UP,1
20260901,META,BUY,0.5362,6.61,UP,1
20260901,GOOGL,BUY,0.5362,1.09,UP,1
20260901,TSLA,BUY,0.5349,-0.56,DOWN,0
20260901,MSFT,BUY,0.5187,-0.26,DOWN,0
