pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260531,NVDA,BUY,0.5168,-8.48,DOWN,0
20260531,AMZN,BUY,0.5129,-5.83,DOWN,0
20260531,AAPL,BUY,0.512,0.34,UP,1
20260531,META,BUY,0.5102,-1.24,DOWN,0
20260531,MSFT,BUY,0.5101,-9.52,DOWN,0
20260531,GOOGL,BUY,0.5097,-2.08,DOWN,0
20260531,TSLA,BUY,0.504,-5.98,DOWN,0
20260601,AMZN,BUY,0.5403,-5.83,DOWN,0
20260601,NVDA,BUY,0.5334,-8.48,DOWN,0
20260601,AAPL,BUY,0.5303,0.34,UP,1
20260601,MSFT,BUY,0.5279,-9.52,DOWN,0
20260601,META,BUY,0.5277,-1.24,DOWN,0
20260601,GOOGL,BUY,0.5236,-2.08,DOWN,0
20260601,TSLA,BUY,0.5211,-5.98,DOWN,0
