pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260806,GOOGL,BUY,0.632,-3.97,DOWN,0
20260806,TSLA,BUY,0.6312,2.5,UP,1
20260806,AAPL,BUY,0.6299,-3.17,DOWN,0
20260806,META,BUY,0.6299,-1.87,DOWN,0
20260806,AMZN,BUY,0.628,-1.83,DOWN,0
20260806,NVDA,BUY,0.6278,2.33,UP,1
20260806,MSFT,BUY,0.6203,-1.49,DOWN,0
20260811,AMZN,BUY,0.5515,-3.53,DOWN,0
20260811,NVDA,BUY,0.5514,3.52,UP,1
20260811,AAPL,BUY,0.5336,0.33,UP,1
20260811,TSLA,BUY,0.5336,2.84,UP,1
20260811,GOOGL,BUY,0.5336,0.61,UP,1
20260811,META,BUY,0.5335,-1.55,DOWN,0
20260811,MSFT,BUY,0.5041,-1.67,DOWN,0
