pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260621,NVDA,BUY,0.578,-7.73,DOWN,0
20260621,AMZN,BUY,0.5749,-0.04,DOWN,0
20260621,GOOGL,BUY,0.5539,-3.51,DOWN,0
20260621,META,BUY,0.5539,-2.41,DOWN,0
20260621,MSFT,BUY,0.5539,1.53,UP,1
20260621,AAPL,BUY,0.5318,-4.45,DOWN,0
20260621,TSLA,BUY,0.5318,-6.26,DOWN,0
20260626,AMZN,HOLD,0.4367,3.87,UP,0
20260626,NVDA,HOLD,0.436,2.62,UP,0
20260626,MSFT,HOLD,0.4321,3.03,UP,0
20260626,GOOGL,HOLD,0.4319,7.06,UP,0
20260626,META,HOLD,0.4318,11.39,UP,0
20260626,TSLA,HOLD,0.4275,12.01,UP,0
20260626,AAPL,HOLD,0.4267,3.74,UP,0
