pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260711,AMZN,BUY,0.5605,-0.03,DOWN,0
20260711,NVDA,BUY,0.5605,-0.35,DOWN,0
20260711,AAPL,BUY,0.5569,5.18,UP,1
20260711,GOOGL,BUY,0.5333,-1.63,DOWN,0
20260711,MSFT,BUY,0.5288,0.72,UP,1
20260711,META,BUY,0.518,-1.63,DOWN,0
20260711,TSLA,BUY,0.5114,-3.53,DOWN,0
20260716,NVDA,BUY,0.6422,-0.05,DOWN,0
20260716,AMZN,BUY,0.64,-0.94,DOWN,0
20260716,GOOGL,BUY,0.6397,-2.06,DOWN,0
20260716,TSLA,BUY,0.6381,-3.1,DOWN,0
20260716,MSFT,BUY,0.6366,-0.84,DOWN,0
20260716,AAPL,BUY,0.6365,-1.66,DOWN,0
20260716,META,HOLD,0.4387,-3.12,DOWN,1
