pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260801,AMZN,HOLD,0.4757,-3.36,DOWN,1
20260801,NVDA,HOLD,0.4727,8.38,UP,0
20260801,MSFT,HOLD,0.4583,2.53,UP,0
20260801,GOOGL,HOLD,0.4576,-5.14,DOWN,1
20260801,TSLA,HOLD,0.4573,2.02,UP,0
20260801,META,HOLD,0.452,0.32,UP,0
20260801,AAPL,HOLD,0.439,3.27,UP,0
20260806,GOOGL,BUY,0.632,-3.9,DOWN,0
20260806,TSLA,BUY,0.6312,4.16,UP,1
20260806,AAPL,BUY,0.6299,-2.32,DOWN,0
20260806,META,BUY,0.6299,1.56,UP,1
20260806,AMZN,BUY,0.628,0.0,UP,1
20260806,NVDA,BUY,0.6278,-0.68,DOWN,0
20260806,MSFT,BUY,0.6203,0.79,UP,1
