pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260626,AMZN,HOLD,0.4367,4.29,UP,0
20260626,NVDA,HOLD,0.436,1.19,UP,0
20260626,MSFT,HOLD,0.4321,4.7,UP,0
20260626,GOOGL,HOLD,0.4319,6.67,UP,0
20260626,META,HOLD,0.4318,5.93,UP,0
20260626,TSLA,HOLD,0.4275,3.62,UP,0
20260626,AAPL,HOLD,0.4267,8.76,UP,0
20260701,NVDA,BUY,0.5116,-1.03,DOWN,0
20260701,AMZN,BUY,0.5108,1.02,UP,1
20260701,TSLA,BUY,0.5106,-1.3,DOWN,0
20260701,MSFT,BUY,0.5092,0.64,UP,1
20260701,META,BUY,0.5089,-2.06,DOWN,0
20260701,GOOGL,BUY,0.5088,1.45,UP,1
20260701,AAPL,BUY,0.5063,6.21,UP,1
