pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260716,NVDA,BUY,0.6422,2.25,UP,1
20260716,AMZN,BUY,0.64,-2.02,DOWN,0
20260716,GOOGL,BUY,0.6397,-3.49,DOWN,0
20260716,TSLA,BUY,0.6381,-4.36,DOWN,0
20260716,MSFT,BUY,0.6366,-2.68,DOWN,0
20260716,AAPL,BUY,0.6365,-2.21,DOWN,0
20260716,META,HOLD,0.4387,-5.62,DOWN,1
20260721,NVDA,BUY,0.5215,-0.22,DOWN,0
20260721,AMZN,BUY,0.5138,-6.24,DOWN,0
20260721,AAPL,BUY,0.5034,1.61,UP,1
20260721,TSLA,BUY,0.5029,-17.39,DOWN,0
20260721,META,BUY,0.502,-7.55,DOWN,0
20260721,GOOGL,BUY,0.5018,-7.9,DOWN,0
20260721,MSFT,BUY,0.5013,-4.04,DOWN,0
