pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260731,AMZN,HOLD,0.4999,0.25,UP,0
20260731,NVDA,HOLD,0.4976,9.09,UP,0
20260731,MSFT,HOLD,0.4823,7.56,UP,0
20260731,GOOGL,HOLD,0.4816,0.45,UP,0
20260731,TSLA,HOLD,0.4813,2.67,UP,0
20260731,META,HOLD,0.476,5.96,UP,0
20260731,AAPL,HOLD,0.4616,1.13,UP,0
20260801,AMZN,HOLD,0.4757,-4.14,DOWN,1
20260801,NVDA,HOLD,0.4727,5.98,UP,0
20260801,MSFT,HOLD,0.4583,2.5,UP,0
20260801,GOOGL,HOLD,0.4576,-4.22,DOWN,1
20260801,TSLA,HOLD,0.4573,-0.79,DOWN,1
20260801,META,HOLD,0.452,-0.06,DOWN,1
20260801,AAPL,HOLD,0.439,2.96,UP,0
