pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260911,AMZN,BUY,0.5075,-2.18,DOWN,0
20260911,NVDA,BUY,0.5039,0.48,UP,1
20260911,MSFT,BUY,0.5019,0.43,UP,1
20260911,GOOGL,BUY,0.5017,2.61,UP,1
20260911,AAPL,BUY,0.5013,1.42,UP,1
20260911,META,BUY,0.5011,5.29,UP,1
20260911,TSLA,BUY,0.5008,0.21,UP,1
20260916,AMZN,BUY,0.647,5.08,UP,1
20260916,NVDA,BUY,0.6391,6.3,UP,1
20260916,AAPL,BUY,0.636,1.98,UP,1
20260916,MSFT,BUY,0.6357,2.31,UP,1
20260916,GOOGL,BUY,0.6354,3.53,UP,1
20260916,TSLA,BUY,0.6353,4.81,UP,1
20260916,META,BUY,0.6349,10.18,UP,1
