pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260606,AMZN,BUY,0.6259,-2.72,DOWN,0
20260606,NVDA,BUY,0.619,-1.65,DOWN,0
20260606,AAPL,BUY,0.6111,-3.45,DOWN,0
20260606,TSLA,BUY,0.6096,-0.62,DOWN,0
20260606,META,HOLD,0.4593,-3.14,DOWN,1
20260606,MSFT,HOLD,0.4591,-5.1,DOWN,1
20260606,GOOGL,HOLD,0.456,-1.0,DOWN,1
20260611,AMZN,BUY,0.5784,1.86,UP,1
20260611,NVDA,BUY,0.5737,1.24,UP,1
20260611,GOOGL,BUY,0.5662,4.33,UP,1
20260611,META,BUY,0.5662,,DOWN,0
20260611,MSFT,BUY,0.5662,0.89,UP,1
20260611,AAPL,BUY,0.557,1.22,UP,1
20260611,TSLA,BUY,0.557,1.38,UP,1
