pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260906,AMZN,BUY,0.6386,-0.07,DOWN,0
20260906,NVDA,BUY,0.6327,-3.19,DOWN,0
20260906,AAPL,BUY,0.6308,5.08,UP,1
20260906,GOOGL,BUY,0.6307,0.04,UP,1
20260906,META,BUY,0.6305,5.63,UP,1
20260906,TSLA,BUY,0.6305,-0.74,DOWN,0
20260906,MSFT,BUY,0.628,0.34,UP,1
20260911,AMZN,BUY,0.5075,-4.21,DOWN,0
20260911,NVDA,BUY,0.5039,-2.01,DOWN,0
20260911,MSFT,BUY,0.5019,-1.08,DOWN,0
20260911,GOOGL,BUY,0.5017,1.29,UP,1
20260911,AAPL,BUY,0.5013,0.04,UP,1
20260911,META,BUY,0.5011,3.9,UP,1
20260911,TSLA,BUY,0.5008,-2.01,DOWN,0
