pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260517,NVDA,BUY,0.6471,-3.14,DOWN,0
20260517,AAPL,BUY,0.6456,3.69,UP,1
20260517,AMZN,BUY,0.644,0.55,UP,1
20260517,GOOGL,BUY,0.6362,-3.52,DOWN,0
20260517,MSFT,BUY,0.6358,-0.96,DOWN,0
20260517,META,BUY,0.6331,-0.16,DOWN,0
20260517,TSLA,BUY,0.6278,3.91,UP,1
20260521,NVDA,BUY,0.5275,-2.12,DOWN,0
20260521,AAPL,BUY,0.5222,1.1,UP,1
20260521,AMZN,BUY,0.519,-1.18,DOWN,0
20260521,META,BUY,0.5122,0.82,UP,1
20260521,MSFT,BUY,0.5069,-0.73,DOWN,0
20260521,TSLA,BUY,0.5045,3.77,UP,1
20260521,GOOGL,HOLD,0.4989,0.31,UP,0
