pred_date,base_date,ticker,predicted_signal,up_probability,actual_return_pct,actual_signal,correct
20260516,2026-05-08,NVDA,BUY,0.579,4.7,UP,1
20260516,2026-05-08,AAPL,BUY,0.5778,2.45,UP,1
20260516,2026-05-08,AMZN,BUY,0.5687,-3.13,DOWN,0
20260516,2026-05-08,MSFT,BUY,0.5275,1.64,UP,1
20260516,2026-05-08,GOOGL,BUY,0.5275,-1.0,DOWN,0
20260516,2026-05-08,META,BUY,0.5114,0.75,UP,1
20260516,2026-05-08,TSLA,HOLD,0.4849,-1.43,DOWN,1
