pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260611,AMZN,BUY,0.5784,-1.66,DOWN,0
20260611,NVDA,BUY,0.5737,-0.11,DOWN,0
20260611,GOOGL,BUY,0.5662,1.68,UP,1
20260611,META,BUY,0.5662,-0.06,DOWN,0
20260611,MSFT,BUY,0.5662,-2.93,DOWN,0
20260611,AAPL,BUY,0.557,0.11,UP,1
20260611,TSLA,BUY,0.557,-0.69,DOWN,0
20260616,AMZN,BUY,0.5058,-0.65,DOWN,0
20260616,AAPL,BUY,0.5004,-0.41,DOWN,0
20260616,NVDA,HOLD,0.4993,1.58,UP,0
20260616,MSFT,HOLD,0.4984,-3.66,DOWN,1
20260616,META,HOLD,0.4983,-3.83,DOWN,1
20260616,GOOGL,HOLD,0.498,-1.4,DOWN,1
20260616,TSLA,HOLD,0.4952,-1.03,DOWN,1
