pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260601,AMZN,BUY,0.5403,-5.83,DOWN,0
20260601,NVDA,BUY,0.5334,-8.48,DOWN,0
20260601,AAPL,BUY,0.5303,0.34,UP,1
20260601,MSFT,BUY,0.5279,-9.52,DOWN,0
20260601,META,BUY,0.5277,-1.24,DOWN,0
20260601,GOOGL,BUY,0.5236,-2.08,DOWN,0
20260601,TSLA,BUY,0.5211,-5.98,DOWN,0
20260606,AMZN,BUY,0.6259,-1.51,DOWN,0
20260606,NVDA,BUY,0.619,-1.81,DOWN,0
20260606,AAPL,BUY,0.6111,-1.96,DOWN,0
20260606,TSLA,BUY,0.6096,-2.4,DOWN,0
20260606,META,HOLD,0.4593,-2.9,DOWN,1
20260606,MSFT,HOLD,0.4591,-5.2,DOWN,1
20260606,GOOGL,HOLD,0.456,-1.52,DOWN,1
