pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260811,AMZN,BUY,0.5515,-4.03,DOWN,0
20260811,NVDA,BUY,0.5514,3.45,UP,1
20260811,AAPL,BUY,0.5336,0.22,UP,1
20260811,TSLA,BUY,0.5336,1.95,UP,1
20260811,GOOGL,BUY,0.5336,0.06,UP,1
20260811,META,BUY,0.5335,-5.03,DOWN,0
20260811,MSFT,BUY,0.5041,-4.66,DOWN,0
20260816,NVDA,BUY,0.6396,-4.57,DOWN,0
20260816,AMZN,BUY,0.6354,-1.03,DOWN,0
20260816,TSLA,BUY,0.6342,6.94,UP,1
20260816,AAPL,BUY,0.6338,1.23,UP,1
20260816,META,BUY,0.632,-3.35,DOWN,0
20260816,GOOGL,BUY,0.6318,0.24,UP,1
20260816,MSFT,BUY,0.6284,0.79,UP,1
