rank,model,reliability_score,sharpe,accuracy,precision,max_drawdown,total_return
1,lstm,0.47508391351241525,0.6053033066522218,0.5358181854302004,0.5358181854302004,-0.349465018635737,0.2997706790196211
2,tcn,0.47508391351241525,0.6053033066522218,0.5358181854302004,0.5358181854302004,-0.349465018635737,0.2997706790196211
3,patchtst,0.47508391351241525,0.6053033066522218,0.5358181854302004,0.5358181854302004,-0.349465018635737,0.2997706790196211
4,tft,0.47508391351241525,0.6053033066522218,0.5358181854302004,0.5358181854302004,-0.349465018635737,0.2997706790196211
5,lgbm,0.4445721439976168,0.5706709377893144,0.5159465204521525,0.4068830562803603,-0.1985679850982682,0.27269682591273753
